Date,Temperature,Humidity,Precipitation,Location
2025-01-28,13.1,52.9,9.11,Houston
2025-01-29,13.1,54.6,9.13,Houston
2025-01-30,13.1,54.7,9.15,Houston
2025-01-31,13.1,54.7,9.16,Houston
2025-02-01,13.1,54.7,9.17,Houston
2025-02-02,13.1,54.7,9.18,Houston
2025-02-03,13.1,54.7,9.19,Houston
2025-02-04,13.1,54.7,9.2,Houston
2025-02-05,13.1,54.7,9.21,Houston
2025-02-06,13.1,54.7,9.22,Houston
2025-02-07,13.1,54.7,9.22,Houston
2025-02-08,13.1,54.7,9.23,Houston
2025-02-09,13.1,54.7,9.24,Houston
2025-02-10,13.1,54.7,9.24,Houston
2025-02-11,13.1,54.7,9.25,Houston
2025-02-12,13.1,54.7,9.25,Houston
2025-02-13,13.1,54.7,9.25,Houston
2025-02-14,13.1,54.7,9.26,Houston
2025-02-15,13.1,54.7,9.26,Houston
2025-02-16,13.1,54.7,9.26,Houston
2025-02-17,13.1,54.7,9.27,Houston
2025-02-18,13.1,54.7,9.27,Houston
2025-02-19,13.1,54.7,9.27,Houston
2025-02-20,13.1,54.7,9.27,Houston
2025-02-21,13.1,54.7,9.27,Houston
2025-02-22,13.1,54.7,9.28,Houston
2025-02-23,13.1,54.7,9.28,Houston
2025-02-24,13.1,54.7,9.28,Houston
2025-02-25,13.1,54.7,9.28,Houston
2025-02-26,13.1,54.7,9.28,Houston
2025-02-01,13.6,55.2,10.11,Miami
2025-02-02,13.8,55.5,10.11,Miami
2025-02-03,14,55.5,10.11,Miami
2025-02-04,13.6,55.5,10.11,Miami
2025-02-05,13.9,55.5,10.11,Miami
2025-02-06,13.9,55.5,10.11,Miami
2025-02-07,13.6,55.5,10.11,Miami
2025-02-08,13.9,55.5,10.11,Miami
2025-02-09,13.8,55.5,10.11,Miami
2025-02-10,13.7,55.5,10.11,Miami
2025-02-11,13.9,55.5,10.11,Miami
2025-02-12,13.7,55.5,10.11,Miami
2025-02-13,13.7,55.5,10.11,Miami
2025-02-14,13.9,55.5,10.11,Miami
2025-02-15,13.7,55.5,10.11,Miami
2025-02-16,13.8,55.5,10.11,Miami
2025-02-17,13.9,55.5,10.11,Miami
2025-02-18,13.7,55.5,10.11,Miami
2025-02-19,13.8,55.5,10.11,Miami
2025-02-20,13.8,55.5,10.11,Miami
2025-02-21,13.7,55.5,10.11,Miami
2025-02-22,13.9,55.5,10.11,Miami
2025-02-23,13.8,55.5,10.11,Miami
2025-02-24,13.7,55.5,10.11,Miami
2025-02-25,13.9,55.5,10.11,Miami
2025-02-26,13.7,55.5,10.11,Miami
2025-02-27,13.8,55.5,10.11,Miami
2025-02-28,13.8,55.5,10.11,Miami
2025-03-01,13.7,55.5,10.11,Miami
2025-03-02,13.8,55.5,10.11,Miami
2025-02-08,11.8,53.4,9.31,Chicago
2025-02-09,11.8,53.8,9.31,Chicago
2025-02-10,11.8,53.8,9.32,Chicago
2025-02-11,11.8,53.8,9.32,Chicago
2025-02-12,11.8,53.8,9.32,Chicago
2025-02-13,11.8,53.8,9.32,Chicago
2025-02-14,11.8,53.8,9.32,Chicago
2025-02-15,11.8,53.8,9.33,Chicago
2025-02-16,11.8,53.8,9.33,Chicago
2025-02-17,11.8,53.8,9.33,Chicago
2025-02-18,11.8,53.8,9.33,Chicago
2025-02-19,11.8,53.8,9.33,Chicago
2025-02-20,11.8,53.8,9.33,Chicago
2025-02-21,11.8,53.8,9.33,Chicago
2025-02-22,11.8,53.8,9.33,Chicago
2025-02-23,11.8,53.8,9.33,Chicago
2025-02-24,11.8,53.8,9.33,Chicago
